timestamp,open,high,low,close,volume
2023-01-01 00:00:00,19990,20020,19980,20000,100
2023-01-01 01:00:00,20200,20230,20190,20210,102
2023-01-01 02:00:00,20410,20440,20400,20420,104
2023-01-01 03:00:00,21520,21550,21510,21530,106
2023-01-01 04:00:00,21730,21760,21720,21740,108
2023-01-01 05:00:00,19440,19470,19430,19450,110
2023-01-01 06:00:00,20550,20580,20540,20560,112
2023-01-01 07:00:00,20760,20790,20750,20770,114
2023-01-01 08:00:00,20970,21000,20960,20980,116
2023-01-01 09:00:00,22080,22110,22070,22090,118
2023-01-01 10:00:00,19790,19820,19780,19800,120
2023-01-01 11:00:00,20000,20030,19990,20010,122
2023-01-01 12:00:00,21110,21140,21100,21120,124
2023-01-01 13:00:00,21320,21350,21310,21330,126
2023-01-01 14:00:00,21530,21560,21520,21540,128
2023-01-01 15:00:00,20140,20170,20130,20150,130
2023-01-01 16:00:00,20350,20380,20340,20360,132
2023-01-01 17:00:00,20560,20590,20550,20570,134
2023-01-01 18:00:00,21670,21700,21660,21680,136
2023-01-01 19:00:00,21880,21910,21870,21890,138
2023-01-01 20:00:00,19590,19620,19580,19600,140
2023-01-01 21:00:00,20700,20730,20690,20710,142
2023-01-01 22:00:00,20910,20940,20900,20920,144
2023-01-01 23:00:00,21120,21150,21110,21130,146
2023-01-02 00:00:00,22230,22260,22220,22240,148
2023-01-02 01:00:00,19940,19970,19930,19950,150
2023-01-02 02:00:00,20150,20180,20140,20160,152
2023-01-02 03:00:00,21260,21290,21250,21270,154
2023-01-02 04:00:00,21470,21500,21460,21480,156
2023-01-02 05:00:00,21680,21710,21670,21690,158
2023-01-02 06:00:00,20290,20320,20280,20300,160
2023-01-02 07:00:00,20500,20530,20490,20510,162
2023-01-02 08:00:00,20710,20740,20700,20720,164
2023-01-02 09:00:00,21820,21850,21810,21830,166
2023-01-02 10:00:00,22030,22060,22020,22040,168
2023-01-02 11:00:00,19740,19770,19730,19750,170
2023-01-02 12:00:00,20850,20880,20840,20860,172
2023-01-02 13:00:00,21060,21090,21050,21070,174
2023-01-02 14:00:00,21270,21300,21260,21280,176
2023-01-02 15:00:00,22380,22410,22370,22390,178
2023-01-02 16:00:00,20090,20120,20080,20100,180
2023-01-02 17:00:00,20300,20330,20290,20310,182
2023-01-02 18:00:00,21410,21440,21400,21420,184
2023-01-02 19:00:00,21620,21650,21610,21630,186
2023-01-02 20:00:00,21830,21860,21820,21840,188
2023-01-02 21:00:00,20440,20470,20430,20450,190
2023-01-02 22:00:00,20650,20680,20640,20660,192
2023-01-02 23:00:00,20860,20890,20850,20870,194
2023-01-03 00:00:00,21970,22000,21960,21980,196
2023-01-03 01:00:00,22180,22210,22170,22190,198
2023-01-03 02:00:00,19890,19920,19880,19900,200
2023-01-03 03:00:00,21000,21030,20990,21010,202
2023-01-03 04:00:00,21210,21240,21200,21220,204
2023-01-03 05:00:00,21420,21450,21410,21430,206
2023-01-03 06:00:00,22530,22560,22520,22540,208
2023-01-03 07:00:00,20240,20270,20230,20250,210
2023-01-03 08:00:00,20450,20480,20440,20460,212
2023-01-03 09:00:00,21560,21590,21550,21570,214
2023-01-03 10:00:00,21770,21800,21760,21780,216
2023-01-03 11:00:00,21980,22010,21970,21990,218
2023-01-03 12:00:00,20590,20620,20580,20600,220
2023-01-03 13:00:00,20800,20830,20790,20810,222
2023-01-03 14:00:00,21010,21040,21000,21020,224
2023-01-03 15:00:00,22120,22150,22110,22130,226
2023-01-03 16:00:00,22330,22360,22320,22340,228
2023-01-03 17:00:00,20040,20070,20030,20050,230
2023-01-03 18:00:00,21150,21180,21140,21160,232
2023-01-03 19:00:00,21360,21390,21350,21370,234
2023-01-03 20:00:00,21570,21600,21560,21580,236
2023-01-03 21:00:00,22680,22710,22670,22690,238
2023-01-03 22:00:00,20390,20420,20380,20400,240
2023-01-03 23:00:00,20600,20630,20590,20610,242
2023-01-04 00:00:00,21710,21740,21700,21720,244
2023-01-04 01:00:00,21920,21950,21910,21930,246
2023-01-04 02:00:00,22130,22160,22120,22140,248
2023-01-04 03:00:00,20740,20770,20730,20750,250
2023-01-04 04:00:00,20950,20980,20940,20960,252
2023-01-04 05:00:00,21160,21190,21150,21170,254
2023-01-04 06:00:00,22270,22300,22260,22280,256
2023-01-04 07:00:00,22480,22510,22470,22490,258
2023-01-04 08:00:00,20190,20220,20180,20200,260
2023-01-04 09:00:00,21300,21330,21290,21310,262
2023-01-04 10:00:00,21510,21540,21500,21520,264
2023-01-04 11:00:00,21720,21750,21710,21730,266
2023-01-04 12:00:00,22830,22860,22820,22840,268
2023-01-04 13:00:00,20540,20570,20530,20550,270
2023-01-04 14:00:00,20750,20780,20740,20760,272
2023-01-04 15:00:00,21860,21890,21850,21870,274
2023-01-04 16:00:00,22070,22100,22060,22080,276
2023-01-04 17:00:00,22280,22310,22270,22290,278
2023-01-04 18:00:00,20890,20920,20880,20900,280
2023-01-04 19:00:00,21100,21130,21090,21110,282
2023-01-04 20:00:00,21310,21340,21300,21320,284
2023-01-04 21:00:00,22420,22450,22410,22430,286
2023-01-04 22:00:00,22630,22660,22620,22640,288
2023-01-04 23:00:00,20340,20370,20330,20350,290
2023-01-05 00:00:00,21450,21480,21440,21460,292
2023-01-05 01:00:00,21660,21690,21650,21670,294
2023-01-05 02:00:00,21870,21900,21860,21880,296
2023-01-05 03:00:00,22980,23010,22970,22990,298
