timestamp,open,high,low,close,volume
2023-01-01 00:00:00,19990,20020,19980,20000,100
2023-01-01 01:00:00,20195,20225,20185,20205,102
2023-01-01 02:00:00,20400,20430,20390,20410,104
2023-01-01 03:00:00,20605,20635,20595,20615,106
2023-01-01 04:00:00,22410,22440,22400,22420,108
2023-01-01 05:00:00,22615,22645,22605,22625,110
2023-01-01 06:00:00,22820,22850,22810,22830,112
2023-01-01 07:00:00,18825,18855,18815,18835,114
2023-01-01 08:00:00,20630,20660,20620,20640,116
2023-01-01 09:00:00,20835,20865,20825,20845,118
2023-01-01 10:00:00,21040,21070,21030,21050,120
2023-01-01 11:00:00,21245,21275,21235,21255,122
2023-01-01 12:00:00,23050,23080,23040,23060,124
2023-01-01 13:00:00,23255,23285,23245,23265,126
2023-01-01 14:00:00,19260,19290,19250,19270,128
2023-01-01 15:00:00,19465,19495,19455,19475,130
2023-01-01 16:00:00,21270,21300,21260,21280,132
2023-01-01 17:00:00,21475,21505,21465,21485,134
2023-01-01 18:00:00,21680,21710,21670,21690,136
2023-01-01 19:00:00,21885,21915,21875,21895,138
2023-01-01 20:00:00,23690,23720,23680,23700,140
2023-01-01 21:00:00,19695,19725,19685,19705,142
2023-01-01 22:00:00,19900,19930,19890,19910,144
2023-01-01 23:00:00,20105,20135,20095,20115,146
2023-01-02 00:00:00,21910,21940,21900,21920,148
2023-01-02 01:00:00,22115,22145,22105,22125,150
2023-01-02 02:00:00,22320,22350,22310,22330,152
2023-01-02 03:00:00,22525,22555,22515,22535,154
2023-01-02 04:00:00,20130,20160,20120,20140,156
2023-01-02 05:00:00,20335,20365,20325,20345,158
2023-01-02 06:00:00,20540,20570,20530,20550,160
2023-01-02 07:00:00,20745,20775,20735,20755,162
2023-01-02 08:00:00,22550,22580,22540,22560,164
2023-01-02 09:00:00,22755,22785,22745,22765,166
2023-01-02 10:00:00,22960,22990,22950,22970,168
2023-01-02 11:00:00,18965,18995,18955,18975,170
2023-01-02 12:00:00,20770,20800,20760,20780,172
2023-01-02 13:00:00,20975,21005,20965,20985,174
2023-01-02 14:00:00,21180,21210,21170,21190,176
2023-01-02 15:00:00,21385,21415,21375,21395,178
2023-01-02 16:00:00,23190,23220,23180,23200,180
