ts,balance
2025-08-02T10:10:00+00:00,10446.616822429907
2025-08-02T16:02:00+00:00,10171.896127784466
2025-08-03T01:27:00+00:00,9325.07729644011
2025-08-04T15:29:00+00:00,9364.558809136533
2025-08-04T22:15:00+00:00,9865.0556740644
2025-08-05T01:05:00+00:00,9957.427466998352
2025-08-05T03:33:00+00:00,10653.648156305242
2025-08-05T10:17:00+00:00,10492.187835622804
2025-08-06T09:53:00+00:00,10281.748774501708
2025-08-06T22:46:00+00:00,10125.627774951305
2025-08-07T09:52:00+00:00,9825.740300814006
2025-08-07T15:43:00+00:00,10140.201230524206
2025-08-07T16:15:00+00:00,10083.140181561059
2025-08-08T10:09:00+00:00,11207.48503148933
2025-08-08T15:30:00+00:00,11415.011040177988
2025-08-08T16:54:00+00:00,11105.458827849647
2025-08-09T16:02:00+00:00,11168.121235432694
2025-08-09T17:11:00+00:00,11026.445306768888
2025-08-09T20:14:00+00:00,11976.51952862223
2025-08-10T00:10:00+00:00,11895.8364955732
2025-08-10T00:44:00+00:00,11878.367158515155
2025-08-10T01:18:00+00:00,11475.403607713735
2025-08-10T14:19:00+00:00,11413.489048552145
2025-08-10T14:32:00+00:00,11483.806245269294
2025-08-10T14:37:00+00:00,11367.299270565423
2025-08-10T17:21:00+00:00,11344.644378983321
2025-08-10T17:30:00+00:00,11268.30522730529
2025-08-11T02:44:00+00:00,11182.550838357085
2025-08-11T09:13:00+00:00,11557.146477903154
2025-08-11T12:16:00+00:00,11397.963031434381
2025-08-11T13:45:00+00:00,11533.184032298139
2025-08-11T14:16:00+00:00,11474.06227996486
2025-08-11T16:18:00+00:00,11540.172823119783
2025-08-11T16:55:00+00:00,11655.570837442316
2025-08-12T07:39:00+00:00,11114.336471062154
2025-08-12T07:44:00+00:00,10901.045982116924
2025-08-12T08:11:00+00:00,10776.179322570293
2025-08-12T12:31:00+00:00,10748.76874340078
2025-08-12T13:16:00+00:00,10691.127824415133
2025-08-12T13:16:00+00:00,10553.01478427775
2025-08-13T01:13:00+00:00,10970.05754359618
2025-08-13T14:43:00+00:00,13306.10346303062
2025-08-14T09:17:00+00:00,13286.954845947232
2025-08-14T10:15:00+00:00,13254.13746432231
2025-08-14T10:27:00+00:00,13389.031934499188
2025-08-14T11:11:00+00:00,13438.095335994156
2025-08-14T12:35:00+00:00,13576.506401355091
2025-08-14T13:11:00+00:00,13543.848625272183
2025-08-14T13:24:00+00:00,13421.996012402695
2025-08-16T01:09:00+00:00,13270.92101054424
2025-08-16T03:04:00+00:00,12813.242223110534
2025-08-16T09:43:00+00:00,12843.65812573542
2025-08-16T10:58:00+00:00,12842.588634811642
2025-08-16T11:50:00+00:00,12624.43730941001
2025-08-16T15:18:00+00:00,13155.769180147681
2025-08-16T17:15:00+00:00,13910.65177839907
2025-08-16T17:58:00+00:00,13776.709140943149
